Class,Object,Vertex Count,Triangles,Quads,Pentagons,Hexagons,7+ sided polygons,Total Faces,Face Types
AircraftBuoyant,m1337.obj,201,340,0,0,0,0,340,Triangle
AircraftBuoyant,m1338.obj,8761,16960,0,0,0,0,16960,Triangle
AircraftBuoyant,m1339.obj,1878,6173,0,0,0,0,6173,Triangle
AircraftBuoyant,m1340.obj,778,1457,0,0,0,0,1457,Triangle
AircraftBuoyant,m1341.obj,425,824,0,0,0,0,824,Triangle
AircraftBuoyant,m1342.obj,1252,2305,0,0,0,0,2305,Triangle
AircraftBuoyant,m1343.obj,178,344,0,0,0,0,344,Triangle
AircraftBuoyant,m1344.obj,1093,1930,0,0,0,0,1930,Triangle
AircraftBuoyant,m1345.obj,3174,6000,0,0,0,0,6000,Triangle
AircraftBuoyant,m1346.obj,742,1375,0,0,0,0,1375,Triangle
AircraftBuoyant,m1347.obj,3055,6274,0,0,0,0,6274,Triangle
AircraftBuoyant,m1348.obj,795,1382,0,0,0,0,1382,Triangle
AircraftBuoyant,m1349.obj,432,640,0,0,0,0,640,Triangle
AircraftBuoyant,m1350.obj,1097,1976,0,0,0,0,1976,Triangle
AircraftBuoyant,m1351.obj,12987,24466,0,0,0,0,24466,Triangle
AircraftBuoyant,m1352.obj,3298,6348,0,0,0,0,6348,Triangle
Apartment,D00045.obj,14865,21021,0,0,0,0,21021,Triangle
Apartment,D00086.obj,20493,42064,0,0,0,0,42064,Triangle
Apartment,D00138.obj,10827,21140,0,0,0,0,21140,Triangle
Apartment,D00156.obj,12732,19380,0,0,0,0,19380,Triangle
Apartment,D00310.obj,14464,9480,0,0,0,0,9480,Triangle
Apartment,D00348.obj,2006,3008,0,0,0,0,3008,Triangle
Apartment,D00366.obj,1294,2540,0,0,0,0,2540,Triangle
Apartment,D00478.obj,19857,25206,0,0,0,0,25206,Triangle
Apartment,D00496.obj,7737,2579,0,0,0,0,2579,Triangle
Apartment,D00626.obj,73184,64688,0,0,0,0,64688,Triangle
Apartment,D00639.obj,4849,7980,0,0,0,0,7980,Triangle
Apartment,D00651.obj,12732,19380,0,0,0,0,19380,Triangle
Apartment,D00681.obj,13823,15557,0,0,0,0,15557,Triangle
Apartment,D00780.obj,8240,13684,0,0,0,0,13684,Triangle
Apartment,D00792.obj,1327,1158,0,0,0,0,1158,Triangle
Apartment,D00859.obj,1378,2163,0,0,0,0,2163,Triangle
Apartment,D00860.obj,19857,25206,0,0,0,0,25206,Triangle
Apartment,D00869.obj,4930,9069,0,0,0,0,9069,Triangle
Apartment,D00921.obj,12842,7983,0,0,0,0,7983,Triangle
Apartment,D00953.obj,4158,7140,0,0,0,0,7140,Triangle
Apartment,m463.obj,2022,3672,0,0,0,0,3672,Triangle
Apartment,m464.obj,8301,12810,0,0,0,0,12810,Triangle
Apartment,m465.obj,2335,4363,0,0,0,0,4363,Triangle
AquaticAnimal,m53.obj,18409,34877,0,0,0,0,34877,Triangle
AquaticAnimal,m54.obj,18143,33836,0,0,0,0,33836,Triangle
AquaticAnimal,m55.obj,19505,37072,0,0,0,0,37072,Triangle
AquaticAnimal,m56.obj,5814,10893,0,0,0,0,10893,Triangle
AquaticAnimal,m57.obj,18878,36278,0,0,0,0,36278,Triangle
AquaticAnimal,m58.obj,477,950,0,0,0,0,950,Triangle
AquaticAnimal,m59.obj,44,1680,0,0,0,0,1680,Triangle
AquaticAnimal,m60.obj,1606,3208,0,0,0,0,3208,Triangle
AquaticAnimal,m61.obj,216,337,0,0,0,0,337,Triangle
AquaticAnimal,m62.obj,241,478,0,0,0,0,478,Triangle
AquaticAnimal,m63.obj,1112,1792,0,0,0,0,1792,Triangle
AquaticAnimal,m64.obj,247,444,0,0,0,0,444,Triangle
AquaticAnimal,m65.obj,1004,1930,0,0,0,0,1930,Triangle
AquaticAnimal,m66.obj,4117,8196,0,0,0,0,8196,Triangle
AquaticAnimal,m67.obj,14000,27996,0,0,0,0,27996,Triangle
AquaticAnimal,m68.obj,553,1098,0,0,0,0,1098,Triangle
AquaticAnimal,m69.obj,317,560,0,0,0,0,560,Triangle
AquaticAnimal,m70.obj,320,560,0,0,0,0,560,Triangle
