Class,Object,Vertex Count
AircraftBuoyant,m1337.obj,201
AircraftBuoyant,m1338.obj,8761
AircraftBuoyant,m1339.obj,1878
AircraftBuoyant,m1340.obj,778
AircraftBuoyant,m1341.obj,425
AircraftBuoyant,m1342.obj,1252
AircraftBuoyant,m1343.obj,178
AircraftBuoyant,m1344.obj,1093
AircraftBuoyant,m1345.obj,3174
AircraftBuoyant,m1346.obj,742
AircraftBuoyant,m1347.obj,3055
AircraftBuoyant,m1348.obj,795
AircraftBuoyant,m1349.obj,432
AircraftBuoyant,m1350.obj,1097
AircraftBuoyant,m1351.obj,12987
AircraftBuoyant,m1352.obj,3298
Apartment,D00045.obj,14865
Apartment,D00086.obj,20493
Apartment,D00138.obj,10827
Apartment,D00156.obj,12732
Apartment,D00310.obj,14464
Apartment,D00348.obj,2006
Apartment,D00366.obj,1294
Apartment,D00478.obj,19857
Apartment,D00496.obj,7737
Apartment,D00626.obj,73184
Apartment,D00639.obj,4849
Apartment,D00651.obj,12732
Apartment,D00681.obj,13823
Apartment,D00780.obj,8240
Apartment,D00792.obj,1327
Apartment,D00859.obj,1378
Apartment,D00860.obj,19857
Apartment,D00869.obj,4930
Apartment,D00921.obj,12842
Apartment,D00953.obj,4158
Apartment,m463.obj,2022
Apartment,m464.obj,8301
Apartment,m465.obj,2335
AquaticAnimal,m53.obj,18409
AquaticAnimal,m54.obj,18143
AquaticAnimal,m55.obj,19505
AquaticAnimal,m56.obj,5814
AquaticAnimal,m57.obj,18878
AquaticAnimal,m58.obj,477
AquaticAnimal,m59.obj,44
AquaticAnimal,m60.obj,1606
AquaticAnimal,m61.obj,216
AquaticAnimal,m62.obj,241
AquaticAnimal,m63.obj,1112
AquaticAnimal,m64.obj,247
AquaticAnimal,m65.obj,1004
AquaticAnimal,m66.obj,4117
AquaticAnimal,m67.obj,14000
AquaticAnimal,m68.obj,553
AquaticAnimal,m69.obj,317
AquaticAnimal,m70.obj,320
AquaticAnimal,m71.obj,420
AquaticAnimal,m72.obj,331
AquaticAnimal,m73.obj,285
AquaticAnimal,m74.obj,162
AquaticAnimal,m75.obj,298
AquaticAnimal,m76.obj,1583
AquaticAnimal,m77.obj,11578
AquaticAnimal,m78.obj,468
AquaticAnimal,m79.obj,166
AquaticAnimal,m80.obj,1104
AquaticAnimal,m81.obj,857
Bed,D00031.obj,1867
Bed,D00110.obj,1926
Bed,D00121.obj,15368
Bed,D00184.obj,7218
Bed,D00210.obj,22063
Bed,D00213.obj,2277
Bed,D00217.obj,3238
Bed,D00307.obj,2644
Bed,D00322.obj,9342
Bed,D00417.obj,12808
Bed,D00538.obj,7136
Bed,D00545.obj,415
Bed,D00552.obj,6349
Bed,D00565.obj,826
Bed,D00650.obj,3752
Bed,D00735.obj,453
Bed,D00836.obj,1563
Bed,D00839.obj,16364
Bed,D00969.obj,13151
Bed,D00988.obj,768
Bed,m945.obj,8116
Bed,m946.obj,449
Bed,m947.obj,441
Bed,m948.obj,4597
Bed,m949.obj,706
Bed,m950.obj,437
Bed,m951.obj,363
Bicycle,D00016.obj,2769
Bicycle,D00033.obj,2192
Bicycle,D00040.obj,25426
Bicycle,D00077.obj,16416
Bicycle,D00078.obj,22674
Bicycle,D00462.obj,56754
Bicycle,D00514.obj,6951
Bicycle,D00536.obj,30832
Bicycle,D00555.obj,34364
Bicycle,D00558.obj,19417
Bicycle,D00567.obj,436
Bicycle,D00621.obj,2769
Bicycle,D00708.obj,22495
Bicycle,D00750.obj,3053
Bicycle,D00838.obj,23397
Bicycle,D00847.obj,22672
Bicycle,D00904.obj,5354
Bicycle,D00930.obj,29173
Bicycle,D00931.obj,32603
Bicycle,D00974.obj,6045
Bicycle,m1472.obj,524
Bicycle,m1473.obj,2192
Bicycle,m1475.obj,6049
Bicycle,m1476.obj,436
Bicycle,m1477.obj,22682
Bicycle,m1478.obj,2769
Biplane,D00069.obj,3242
Biplane,D00132.obj,287
Biplane,D00178.obj,10942
Biplane,D00199.obj,2584
Biplane,D00246.obj,14082
Biplane,D00276.obj,567
Biplane,D00277.obj,22427
Biplane,D00320.obj,9723
Biplane,D00373.obj,5941
Biplane,D00410.obj,2167
Biplane,D00490.obj,24998
Biplane,D00515.obj,5381
Biplane,D00601.obj,18086
Biplane,D00616.obj,20306
Biplane,D00632.obj,624
Biplane,D00634.obj,48973
Biplane,D00666.obj,469
Biplane,D00854.obj,18966
Biplane,D00890.obj,45079
Biplane,D00900.obj,27750
Biplane,m1118.obj,10676
Biplane,m1119.obj,863
Biplane,m1120.obj,65722
Biplane,m1121.obj,1062
Biplane,m1122.obj,6704
Biplane,m1123.obj,1015
Biplane,m1124.obj,390
Biplane,m1125.obj,434
Biplane,m1126.obj,770
Biplane,m1127.obj,354
Biplane,m1128.obj,718
Biplane,m1129.obj,3351
Biplane,m1131.obj,482
Biplane,m1132.obj,882
Biplane,m1133.obj,624
Biplane,m1134.obj,338
Biplane,m1135.obj,264
Biplane,m1136.obj,904
Biplane,m1137.obj,408
Biplane,m1138.obj,2050
Biplane,m1139.obj,2920
Biplane,m1141.obj,11819
Biplane,m1143.obj,3336
Biplane,m1144.obj,3627
Biplane,m1146.obj,1700
Bird,D00089.obj,233
Bird,D00113.obj,15871
Bird,D00164.obj,8188
Bird,D00234.obj,1247
Bird,D00271.obj,12813
Bird,D00284.obj,13253
Bird,D00323.obj,260
Bird,D00386.obj,1751
Bird,D00438.obj,1824
Bird,D00442.obj,9745
Bird,D00546.obj,1162
Bird,D00599.obj,1792
Bird,D00625.obj,1091
Bird,D00689.obj,2683
Bird,D00736.obj,3947
Bird,D00762.obj,950
Bird,D00862.obj,757
Bird,D00922.obj,903
Bird,D00961.obj,1344
Bird,D00999.obj,373
Bird,m28.obj,6076
Bird,m29.obj,2972
Bird,m30.obj,390
Bird,m31.obj,1802
Bird,m32.obj,1129
Bird,m33.obj,3144
Bird,m34.obj,233
Bird,m35.obj,699
Bird,m36.obj,1289
Bird,m37.obj,567
Bird,m38.obj,464
Bird,m39.obj,649
Bird,m40.obj,2684
Bird,m41.obj,1824
Bird,m42.obj,116
Bird,m43.obj,41
Bird,m44.obj,401
Bird,m45.obj,16542
Bird,m47.obj,101
Bird,m48.obj,427
Bird,m49.obj,2329
Bird,m50.obj,93
Bird,m51.obj,309
Bird,m52.obj,294
Bookset,D01009.obj,444
Bookset,D01013.obj,320
Bookset,D01030.obj,208
Bookset,D01038.obj,2208
Bookset,D01042.obj,668
Bookset,D01050.obj,140
Bookset,D01065.obj,360
Bookset,D01078.obj,1203
Bookset,D01096.obj,624
Bookset,D01108.obj,1628
Bookset,D01109.obj,1203
Bookset,D01110.obj,166
Bookset,D01122.obj,110
Bookset,D01135.obj,1645
Bookset,D01146.obj,2694
Bookset,D01182.obj,188
Bookset,D01183.obj,891
Bookset,D01184.obj,247
Bookset,D01190.obj,2417
Bookset,D01199.obj,240
Bottle,D00020.obj,971
Bottle,D00123.obj,1067
Bottle,D00139.obj,2452
Bottle,D00166.obj,23142
Bottle,D00176.obj,7138
Bottle,D00208.obj,2000
Bottle,D00281.obj,1304
Bottle,D00311.obj,829
Bottle,D00347.obj,2426
Bottle,D00350.obj,569
Bottle,D00390.obj,1499
Bottle,D00451.obj,11448
Bottle,D00679.obj,12640
Bottle,D00696.obj,13754
Bottle,D00711.obj,192
Bottle,D00716.obj,446
Bottle,D00726.obj,10163
Bottle,D00892.obj,2474
Bottle,D00940.obj,737
Bottle,D00959.obj,479
Bottle,m482.obj,542
Bottle,m483.obj,371
Bottle,m484.obj,460
Bottle,m485.obj,526
Bottle,m486.obj,2101
Bottle,m487.obj,133
Bottle,m488.obj,144
Bottle,m489.obj,558
Bottle,m490.obj,574
Bottle,m491.obj,544
Bottle,m492.obj,360
BuildingNonResidential,m382.obj,252
BuildingNonResidential,m383.obj,2328
BuildingNonResidential,m384.obj,2984
BuildingNonResidential,m385.obj,674
BuildingNonResidential,m386.obj,532
BuildingNonResidential,m387.obj,844
BuildingNonResidential,m389.obj,2509
BuildingNonResidential,m390.obj,40
BuildingNonResidential,m391.obj,246
BuildingNonResidential,m392.obj,33
BuildingNonResidential,m393.obj,241
BuildingNonResidential,m394.obj,750
BuildingNonResidential,m395.obj,630
BuildingNonResidential,m396.obj,445
BuildingNonResidential,m397.obj,1362
BuildingNonResidential,m398.obj,498
BuildingNonResidential,m399.obj,7530
BuildingNonResidential,m400.obj,488
BuildingNonResidential,m401.obj,6936
BuildingNonResidential,m402.obj,21288
BuildingNonResidential,m404.obj,1054
BuildingNonResidential,m405.obj,21009
BuildingNonResidential,m406.obj,7328
BuildingNonResidential,m407.obj,229
BuildingNonResidential,m408.obj,1252
BuildingNonResidential,m409.obj,1509
BuildingNonResidential,m410.obj,1217
BuildingNonResidential,m412.obj,1990
BuildingNonResidential,m413.obj,3749
BuildingNonResidential,m414.obj,1056
BuildingNonResidential,m415.obj,508
BuildingNonResidential,m416.obj,7056
BuildingNonResidential,m418.obj,1576
BuildingNonResidential,m420.obj,7226
BuildingNonResidential,m421.obj,6853
BuildingNonResidential,m470.obj,14464
BuildingNonResidential,m471.obj,118
